Job Title,Job Link,Company,Location,Education,Experience,Deadline,Job Description
IVR Developer for Operator Value-Added Services (VAS) Platform,https://jobs.bdjobs.com/jobdetails.asp?id=1352902&fcatId=8&ln=1,ZK IT Solutions Ltd.,Anywhere in Bangladesh,Bachelor of Science (BSc) in Computer Science & Engineering,At least 5 year(s),26-Apr-25,"Architect, design, and develop a scalable IVR platform for VAS services.
Build dynamic, multilingual IVR menus for personalized customer experiences.
Integrate the IVR platform with operator systems, databases, CRM tools, and telephony networks (SIP, BICC).
Leverage AI-driven technologies like speech recognition and natural language processing (NLP) for smarter customer interactions.
Optimize IVR flows for enhanced user experience and operational efficiency.
Ensure security and compliance with telecommunication and data protection regulations.
Troubleshoot, debug, and maintain a high-performing IVR platform to meet customer demands Required Skills & Qualifications:
Programming Expertise: Proficiency in PHP, Python, Java, or similar languages.
IVR Platforms: Experience with frameworks such as Dialog flow, Call Handler, or other equivalent tools.
Telecommunication Knowledge: In-depth expertise in SIP, BICC, E1 and telephony protocols.
Database Integration: Advanced skills in integrating IVR with databases like SQL, MongoDB, and APIs (RESTful/SOAP).
Cloud Technologies: Hands-on experience with cloud platforms for building scalable solutions.
Security Standards: Comprehensive understanding of encryption, data privacy, and compliance practices.
Operating Systems: Proficiency in managing and patching Linux Rocky 9.5 for IVR systems.
OBD and IBD: Ability to handle bulk Outbound (OBD) and Inbound (IBD) calls efficiently.
Preferred Skills:
Deep knowledge of operator-specific VAS protocols and systems.
Familiarity with analytics platforms to monitor and improve IVR performance.
Experience in delivering real-time dynamic content based on customer preferences."
Database Administrator (DBA),https://jobs.bdjobs.com/jobdetails.asp?id=1353028&fcatId=8&ln=1,Shadhin Music Limited,Dhaka,Bachelor of Science (BSc) in Computer Science,At least 1 year(s),26-Apr-25,"ASP.NET MVC Strong understanding of database design
Database Administrator (DBA)
Database management
MongoDB
MySQL database
NoSQL database
REDIS"
Quality Control (QC) Photo Retouching Expert,https://jobs.bdjobs.com/jobdetails.asp?id=1353038&fcatId=8&ln=1,Rise Up Labs,Uttara Sector 3,N/A,2 to 5 year(s),26-Apr-25,"Riseup Labs is seeking a Quality Control (QC) Specialist in the image retouching field who is responsible for ensuring that edited images meet the required standards before being delivered to clients. Their role involves assessing image quality, identifying inconsistencies, and providing feedback to retouchers for corrections. The candidate should have excellent communication skills, especially in terms of understanding the requirements to manage international clients and have flexibility with the timing. "
Graphics Designer (Image Retouching),https://jobs.bdjobs.com/jobdetails.asp?id=1353027&fcatId=8&ln=1,Rise Up Labs,Uttara,N/A,2 to 5 year(s),25-Apr-25,"Adobe Photoshop
Illustrator and Adobe Photoshop
Image processing
Image retouching
Photo Editing
Photo Retouching
Photoshop and Illustrator"
Technical Content Writer,https://jobs.bdjobs.com/jobdetails.asp?id=1353006&fcatId=8&ln=1,Rise Up Labs,Uttara Sector 3,Bachelor of Science (BSc) in Computer Science & Engineering,At least 1 year(s),26-Apr-25,"Riseup Labs is looking for a Technical Content Writer to create high-quality, engaging, and informative content that resonates with our audience. The ideal candidate will have a strong understanding of technical concepts, excellent writing skills, and the ability to adapt content for different platforms."
Officer - IT Support,https://jobs.bdjobs.com/jobdetails.asp?id=1352904&fcatId=8&ln=1,Anraj Fish Products Industries Ltd.,Anywhere in Bangladesh,Bachelor of Science (BSc) in Information Technology,Na,24-Apr-25,"Bachelor's degree in Information Technology, Computer Science, or related field.

Proven experience in IT support or administration.

Strong technical knowledge of Microsoft Office Suite (Word, Excel, PowerPoint), Programming and Development

Software (Git, GitHub, Visual Studio Code), Communication Software (Slack, Zoom, Microsoft Teams),

Cloud software, Computer hardware, software, and networks.

Excellent problem-solving and troubleshooting skills.

Skills Required:

IT support

Hardware and software troubleshooting

Operating Barcode system

IT policies and procedures

Technical documentation"
Senior Executive - IT,https://jobs.bdjobs.com/jobdetails.asp?id=1352750&fcatId=8&ln=1,Khidmah Hospital Ltd.,Khilgaon,N/A,Na,25-Apr-25,"The Senior Executive of Hospital IT will be responsible for managing and streamlining the operation of the Hospital IT department and ensuring alignment with the business objectives and mission of the organization.
Maintain and configure total network system and solve all types of network problem based on Routers, Switches, HUB & Wireless Access Points.
Configure computer hardware (including laptop, printer, scanner, bar-code printer, bar-code scanner, etc.)as well as computer software( including setup operating systems, internet browsers, Microsoft office, visual basic, crystal report, etc.) Configure and troubleshoot all kinds of Server problem (including IP Phone Server, Printer Server etc.), CCTV, IP Phone, PABX, Attendance device. Configure and manage website domain, hosting, email services including update website contents.
Performing any other assignments given by the Management as and when required."
Vue.js Developer(Remote),https://jobs.bdjobs.com/jobdetails.asp?id=1352695&fcatId=8&ln=1,DoDoBazar.com,Anywhere in Bangladesh,N/A,2 to 5 year(s),24-Apr-25,Vue.js
Foreign Trade Business Specialist,https://jobs.bdjobs.com/jobdetails.asp?id=1352464&fcatId=8&ln=1,"Shanghai Data Acquisition IOT Technology Co., Ltd",GULSHAN 2,N/A,Na,24-Apr-25,"Digital Marketing (Social Media Marketing)
Microsoft Office Suite"
Technical Content Writer,https://jobs.bdjobs.com/jobdetails.asp?id=1352424&fcatId=8&ln=1,DG Infotech Limited,Dhaka,"Bachelor of Science (BSc) in Computer Science1+ years of experience in technical writing,...",3 to 4 year(s),24-Apr-25,"Proficiency in documentation tools such as:
o  Microsoft Office, Google Work space
o  Confluence, Notion, or similar documentation platforms·      
Experience using version control systems like Git and platforms like GitHub/GitLab/Bitbucket·     
 Familiarity with software development concepts (e.g., REST APIs, CI/CD, cloud platforms)·      
Understanding of programming languages like (Python, JavaScript, Java, Flutter, SQL) is a plus·      
Understanding of OOP concept.·      
Basic knowledge of Agile/Scrum methodologies"
Agro and Software Sales Specialist,https://jobs.bdjobs.com/jobdetails.asp?id=1352245&fcatId=8&ln=1,Genius Farms Limited,Dhaka,Bachelor of Business Administration (BBA) in MarketingBachelor of Business Studies (BBS) in...,At least 2 year(s),23-Apr-25,"Agro Marketing
Digital Marketing
Direct Sales and Marketing
IT & Software Marketing
Marketing
Sales & Marketing"
"Senior Executive, IT",https://jobs.bdjobs.com/jobdetails.asp?id=1352397&fcatId=8&ln=1,A Reputable Knitwear Manufacturer,Gazipur,Bachelor of Science (BSc) in Computer Science & Engineering,3 to 5 year(s),24-Apr-25,Mikrotik
Advanced JAVA Programmer,https://jobs.bdjobs.com/jobdetails.asp?id=1352162&fcatId=8&ln=1,ORBUND,Mohammadpur,Bachelor of Science (BSc) in Computer Science & Engineering,1 to 5 year(s),23-Apr-25,"Bootstrap
Git and Github
HTML5 & CSS3
Java EE/ J2EE
JavaScript
jQuery
JSP
MySQL
Spring Framework"
Server Administrator,https://jobs.bdjobs.com/jobdetails.asp?id=1350967&fcatId=8&ln=1,Colissia Global Ltd.,Mirpur,Bachelor of Science (BSc) in Computer Science & Engineering,1 to 3 year(s),22-Apr-25,"Database management
React | Node JS | Javascript
Server Management"
Frontend Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1345744&fcatId=8&ln=1,Technyx,DOHS Baridhara,"Bachelor’s or Master’s Degree in Computer Science, Software Engineering, or a related field.",2 to 3 year(s),22-Apr-25,"CSS3
Frontend developer
HTML5
Javascript knowledge (ES6)"
UI / UX Developer,https://jobs.bdjobs.com/jobdetails.asp?id=1351899&fcatId=8&ln=1,Uptec,ECB Chottor,N/A,At least 1 year(s),22-Apr-25,"Frontend developer
UI and UX Design
UI/UX strategies
Web Design and Development
Web Designer
Web Developer/ Web Designer
Web Development"
Junior IT Support Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1351803&fcatId=8&ln=1,M/S. Kafil Uddin Group,Dhaka,Diploma in Engineering in Computer Science & Engineering,At least 2 year(s),22-Apr-25,"Accounting
Chips
Desktop hardware
Desktop support
Hardware Engineer
IT System Management
Laptop repair
Laptop Servicing
Printer servicing
SOP Development"
".NET Backend Developer (C#, .NET Core, AI Integration, Workflow Development)",https://jobs.bdjobs.com/jobdetails.asp?id=1351028&fcatId=8&ln=1,Codemen Solutions Limited,Bangladesh,Bachelor of Science (BSc) in Computer Science,At least 3 year(s),18-Apr-25,"Artificial intelligence (AI)
ASP.NET Core
AWS Lambda
C Sharp
Kafka
microservices
rabbitmq
Requirement Analysis
TensorFlow
Web Api"
"Frontend Developer (ReactJS, NextJS, TypeScript, AI Integration)",https://jobs.bdjobs.com/jobdetails.asp?id=1350951&fcatId=8&ln=1,Codemen Solutions Limited,Bangladesh,Bachelor of Science (BSc) in Computer Science,At least 3 year(s),18-Apr-25,"Artificial intelligence (AI)
Figma to HTML
Git and Github
MySQL
NoSQL database
React | NodeJS | mongoDB | mongoose | JavaScript | Github | Git
SOLID Design Principles
Typescript"
"Manager - SAP (FICO, MM, PP & SD)",https://jobs.bdjobs.com/jobdetails.asp?id=1351758&fcatId=8&ln=1,A Leading Garments Manufacturing Company,Dhaka,Master of Commerce (MCom),5 to 8 year(s),22-Apr-25,"Implementation:

ASIS: Existing business process understand, analysis and prepare the BPML jointly with consultant for consolidation of full cycle process lists. Review with business team & management for their understanding & approval on BPML.

BBP Prepration: Based on BPML, industry best practice & available standard solution prepare business blue print (BBP). Identify the customs developments. Review with the business team & management for their understanding & approval of BBP.

GAP Lists: Prepare the GAP list with BPML & BBP, priority planning for GAP lists mitigation.

PTP: Plan to produce cycle design for PP.

O2C: Order to cash cycle design for SD.

P2P: Procure to pay cycle design & implementations for MM.

Testing (Unit Testing): After systems configuration unit testing required for confirmation as the standard systems working correctly.

Master data upload: Master data upload in testing systems for training conduct

Testing (UAT): After development of full integrated systems training will be conducted by consultant and full cycle testing will be completed with issue regulations.

Training: End users training will be conducted jointly consultant & ERP team.

Data upload: All the cut over data upload in systems, reconciliation & confirmation that the balances correct

Go Live: After completing testing & training go live within projects time line.

Post Implementation:

Support: Ensure users direct support through his team

Configuration/Development Support: For any configuration/development related support. He will analysis the issue and get the justification/approval from business & management for the required changes/development.

High Level Support: For any high level support issues, have to analysis the root cause of rising the issues and find the solutions by himself. If not able to solve the issues rise to SAP support team or support partner for solutions"
Junior Executive/Executive- RMA/Customer Service/Service & Solution,https://jobs.bdjobs.com/jobdetails.asp?id=1351733&fcatId=8&ln=1,Star Tech & Engineering Ltd.,Anywhere in Bangladesh,Bachelor of Science (BSc) in Computer Science & EngineeringBachelor of Science (BSc) in Electrical...,2 to 3 year(s),22-Apr-25,"Implementation:

ASIS: Existing business process understand, analysis and prepare the BPML jointly with consultant for consolidation of full cycle process lists. Review with business team & management for their understanding & approval on BPML.

BBP Prepration: Based on BPML, industry best practice & available standard solution prepare business blue print (BBP). Identify the customs developments. Review with the business team & management for their understanding & approval of BBP.

GAP Lists: Prepare the GAP list with BPML & BBP, priority planning for GAP lists mitigation.

PTP: Plan to produce cycle design for PP.

O2C: Order to cash cycle design for SD.

P2P: Procure to pay cycle design & implementations for MM.

Testing (Unit Testing): After systems configuration unit testing required for confirmation as the standard systems working correctly.

Master data upload: Master data upload in testing systems for training conduct

Testing (UAT): After development of full integrated systems training will be conducted by consultant and full cycle testing will be completed with issue regulations.

Training: End users training will be conducted jointly consultant & ERP team.

Data upload: All the cut over data upload in systems, reconciliation & confirmation that the balances correct

Go Live: After completing testing & training go live within projects time line.

Post Implementation:

Support: Ensure users direct support through his team

Configuration/Development Support: For any configuration/development related support. He will analysis the issue and get the justification/approval from business & management for the required changes/development.

High Level Support: For any high level support issues, have to analysis the root cause of rising the issues and find the solutions by himself. If not able to solve the issues rise to SAP support team or support partner for solutions"
Full Stack Software Developer (MERN Stack),https://jobs.bdjobs.com/jobdetails.asp?id=1351085&fcatId=8&ln=1,NEC Money Transfer Limited,Dhaka,Bachelor of Science (BSc)Diploma in Computer,1 to 4 year(s),18-Apr-25,"Git and Github
JavaScript
MongoDB
MySQL
Node JS
PHP Laravel
PostgreSQL
react js"
Social Media Manager,https://jobs.bdjobs.com/jobdetails.asp?id=1349743&fcatId=8&ln=1,Syetech Solution,Mirpur 14,HSC,At least 1 year(s),21-Apr-25,"Basic video editing skills
Good communication skills
Graphics Design
SEO
Social Media Marketing (SMM)"
Senior SEO Specialist / Expert,https://jobs.bdjobs.com/jobdetails.asp?id=1351643&fcatId=8&ln=1,Hawa Technology Ltd.,"Anywhere in Bangladesh, Banasree",N/A,3 to 5 year(s),20-Apr-25,"HTML & CSS
On page SEO
Search Engine Optimization
SEO
SEO and Digital Marketing
SEO Expert
YouTube SEO"
Office Assistant,https://jobs.bdjobs.com/jobdetails.asp?id=1351599&fcatId=8&ln=1,Spectrum IT Solutions Ltd.,Banglamotor,HSC,1 to 3 year(s),21-Apr-25,"Document scanning
Office assisting
Sticker pasting"
Software Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1351179&fcatId=8&ln=1,Bengal Builders and Construction Ltd.,Dhaka,Bachelor of Science (BSc) in Computer Science & EngineeringMaster of Science (MSc) in Computer...,At least 10 year(s),19-Apr-25,"Software Development: Design, develop, and implement software applications, ensuring efficiency, security, and scalability.
Code Quality & Optimization: Write clean, maintainable, and well-documented code while optimizing performance.
Testing & Debugging: Conduct unit testing, integration testing, and debugging to identify and resolve software defects.
System Design & Architecture: Collaborate in designing software architecture, database structures, and system integrations.
API Development & Integration: Develop and integrate RESTful APIs, third-party services, and cloud-based solutions.
Version Control & Collaboration: Use Git or similar tools for source control, ensuring smooth team collaboration.
Database Management: Design, implement, and maintain databases, ensuring data security and efficiency.
Security & Compliance: Follow best practices for secure coding, data protection, and compliance with industry standards.
agilgile Development: Work in an Agile/Scrum environment, participating in sprints, stand-ups, and retrospectives.
Technical Documentation: Prepare detailed technical documentation, user guides, and software reports.
Continuous Improvement: Stay updated with the latest software technologies, frameworks, and industry trends to enhance development processes.
Cross-functional Collaboration: Work closely with UI/UX designers, project managers, and other stakeholders to deliver high-quality software solutions."
Software Engineer (Full-Stack),https://jobs.bdjobs.com/jobdetails.asp?id=1351424&fcatId=8&ln=1,Smart Technologies (BD) Limited (Largest IT Company in Bangladesh),Dhaka,Bachelor of Science (BSc) in Computer Science & Engineering,At least 5 year(s),19-Apr-25,"MySQL
Programming languages: Python
React | NodeJS | mongoDB | mongoose | JavaScript | Github | Git"
Senior DevOps Engineer (Remote),https://jobs.bdjobs.com/jobdetails.asp?id=1351404&fcatId=8&ln=1,Indetechs Software Limited.,Anywhere in Bangladesh,"Certifications in AWS, Azure, and Kubernetes are highly desirable.",At least 5 year(s),19-Apr-25,"We are looking for a Senior DevOps Engineer to play a crucial role in designing, automating, and securing our cloud infrastructure. You will collaborate with developers, business teams, and product managers to build highly scalable, resilient, and compliant environments. Your expertise will help shape our DevOps strategy, drive innovation, and enhance system reliability across multi-cloud platforms. CI/CD and Automation Architect and manage multi-cloud environments (AWS, Azure, GCP).
Optimize cost, performance, and security across cloud workloads."
Associate Professor (Management Information Systems),https://jobs.bdjobs.com/jobdetails.asp?id=1351127&fcatId=8&ln=1,Army Institute of Business Administration,Sylhet,3/4 years Honors and Master’s in the respective field and a minimum CGPA-4.50 (out of 5) at SSC...,At least 12 year(s),19-Apr-25,"Education
Research
Teaching Experience"
Assistant Professor (Management Information Systems),https://jobs.bdjobs.com/jobdetails.asp?id=1351126&fcatId=8&ln=1,Army Institute of Business Administration,Sylhet,3/4 years Honors and Master’s in the respective field and a minimum CGPA-4.50 (out of 5) at SSC...,At least 3 year(s),19-Apr-25,"Education
Research
Teaching Experience"
"Sr. Engineer, IT",https://jobs.bdjobs.com/jobdetails.asp?id=1351330&fcatId=8&ln=1,DBL Group,Bhaluka,Bachelor of Science (BSc) in Computer Science & Engineering,At least 6 year(s),18-Apr-25,"Develop and manage detailed project plans, including timelines, budgets, resource allocation, and deliverables.
Identify and gather IT project requirements from planning teams, stakeholders, and end-users.
Track project progress and ensure timely execution while maintaining quality standards.
Implement, configure, and maintain IT network infrastructure, including LAN, WAN, IPsec VPN, and SD-WAN.
Hands-on experience in administering and troubleshooting Cisco, Mikrotik, and Fortinet firewalls.
Monitor network systems proactively and ensure high availability and performance.
Identify, diagnose, and resolve network, hardware, or software faults efficiently.
Strong expertise in Windows server administration.
To Install, configure, and maintain operating systems, antivirus software, and essential business applications such as o365, Microsoft SQL Server
Manage backups for laptops, desktops, and servers to prevent data loss
Provide end-user technical support and resolve IT-related issues effectively.
Troubleshoot CCTV, access control, and attendance systems and ensure their smooth functioning.
Develop SOPs for IT service management and enhance IT operational efficiency.
Communicate project progress, system status, and IT incidents to the Line Manager and relevant stakeholders.
Maintain IT documentation, configurations, and troubleshooting guides for future reference."
E-Commerce SEO Expert,https://jobs.bdjobs.com/jobdetails.asp?id=1349888&fcatId=8&ln=1,Dream Touch Architects ltd.,Bosila,Educational qualification is flexible for skilled and experienced candidates.,2 to 3 year(s),19-Apr-25,"Backlinks
Content writing
keyword research
On page SEO
SEO and Digital Marketing
seo audit
Technical SEO
YouTube SEO"
App Developer (iOS & Android),https://jobs.bdjobs.com/jobdetails.asp?id=1351100&fcatId=8&ln=1,CredoSense Limited,Dhaka,Bachelor of Science (BSc) in Computer Science & EngineeringBachelor of Science (BSc) in Computer...,At least 2 year(s),19-Apr-25,"Artificial intelligence (AI)
DevOps
Dockers and Kubernetes
Flutter and Kotlin programming languages
IoT device
Machine Learning
React Native | NodeJS | HTML | CSS | JavaScript | Github | Git
Sensors
SQL and NoSQL Databases
Swift (iOS)"
Network Administrator,https://jobs.bdjobs.com/jobdetails.asp?id=1351170&fcatId=8&ln=1,DG Infotech Limited,Dhaka,Bachelor of Science (BSc) in Electronics and Telecommunication EngineeringMasters in Computer...,5 to 6 year(s),19-Apr-25,"Network Administration & Maintenance:

Preferred experience in working with HSM, CISCO FPR & ASA series Firewall, CISCO Catalyst Switch, Juniper SRX series Firewall, Juniper EX series Switch, NGFW.

Should have experience to working on network monitoring tools like Zabbix, Cacti, PRTG, Nagios, OpManager, Datadog etc.

Manage, configure, and monitor LAN, WAN, VPNs, firewalls, routers, and switches.

Ensure high availability and reliability of network services.

Conduct regular performance tuning and optimization of network infrastructure.

Implement and manage network monitoring tools to detect and resolve issues proactively.

Security Management:

Configure and manage firewalls, intrusion detection/prevention systems, and security policies.

Conduct periodic security audits and vulnerability assessments.

Monitor network traffic for unusual activity and mitigate security threats.

Enforce access control policies and ensure compliance with industry security standards.

System Support & Troubleshooting:

Provide atleast Level 2 support for network-related issues.

Diagnose and resolve hardware, software, and connectivity issues.

Coordinate with vendors and service providers for troubleshooting and support.

Documentation & Reporting:

Maintain detailed documentation of network configurations, policies, and procedures.

Generate periodic network performance and security reports.

Document incidents, resolutions, and network changes for future reference.

Disaster Recovery & Business Continuity:

Develop and implement network disaster recovery plans.

Ensure regular backups of network configurations and data.

Test and update contingency plans for network failures and cyber incidents.

Compliance & Regulatory Adherence:

Ensure compliance with local and international standards such as ISO 27001, NIST, and Bangladesh Telecommunication Regulatory Authority (BTRC) requirements.

Work closely with the IT and compliance teams to enforce security best practices.

Deliverables:

Monthly network performance and security reports.

Network configuration and policy documentation.

Incident and resolution logs.

Disaster recovery and backup strategy documentation.

Skill & Competency Requirements:

Strong knowledge of networking protocols, firewalls, and security principles.

Experience with enterprise networking hardware and software solutions.

Excellent problem-solving and troubleshooting skills.

Ability to work independently and as part of a team.

Reporting & Coordination:

Reports to the Head of Operations.

Works closely with cybersecurity teams, system administrators, and external vendors."
Assistant Manager - Sales,https://jobs.bdjobs.com/jobdetails.asp?id=1351165&fcatId=8&ln=1,DG Infotech Limited,Dhaka,Bachelor of Business Administration (BBA)Master of Business Administration (MBA),3 to 5 year(s),19-Apr-25,"Client meeting
CRM
Good comunication skill
Guiding field staff in achieving their sales target
Microsoft PowerPoint
Microsoft Word
Negotiation Skills
Presentation skill
Sales Reporting
Tender Processing"
Sr. Support Engineer (Asst. Manager),https://jobs.bdjobs.com/jobdetails.asp?id=1351022&fcatId=8&ln=1,Munshi HR Solutions Ltd.,Dhaka,Bachelor of Science (BSc) in Electrical & Electronic EngineeringBachelor of Science (BSc) in...,5 to 10 year(s),18-Apr-25,"IT Support Service and Network engineering.
IT Troubleshooting
Linux server
Mikrotick Router
Operation & Maintenance
Sourcing
Switches/ Routers
Troubleshooting problems
VPN Solutions
Wireless"
Executive - Project Management,https://jobs.bdjobs.com/jobdetails.asp?id=1351003&fcatId=8&ln=1,A Renowned IT Company,PanthaPath,Bachelor of Business Administration (BBA),Na,18-Apr-25,"Good communication skills
Knowledge of excel
Project Management"
Software Engineer (Flutter),https://jobs.bdjobs.com/jobdetails.asp?id=1350812&fcatId=8&ln=1,Pridesys IT Limited,Dhaka,Bachelor of Science (BSc),2 to 5 year(s),18-Apr-25,"Flutter
Laravel
PHP"
Maintenance Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1350856&fcatId=8&ln=1,BENLI ELECTRONIC ENTERPRISE CO. LTD.,Gazipur Sadar,Diploma in EngineeringBachelor of Science (BSc),3 to 6 year(s),18-Apr-25,"AC/ Air Conditioning Repairing
air compressor maintenance
Chiller Maintenance
Electrical Installation and Maintenance
Generator"
DevOps Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1350793&fcatId=8&ln=1,Q-Soft Precise Assistance,Dhaka,Bachelor in Engineering (BEngg) in Computer Science & Engineering,2 to 5 year(s),18-Apr-25,"Age 25 to 60 years
The ideal candidate will have a solid background in software development, strong knowledge of DevOps tools and methodologies, and a passion for continuous improvement.

Proven experience as a DevOps Engineer or similar role

Strong knowledge of DevOps tools (e.g., Jenkins, Git, Ansible)

Experience with cloud platforms (e.g., AWS, Azure, GCP)

Proficient in scripting languages (e.g., Bash, Python)

Familiarity with containerization technologies (e.g., Docker, Kubernetes)

Excellent problem-solving and troubleshooting skills

Strong communication and collaboration abilities"
Integration Architect/ Technical Architect,https://jobs.bdjobs.com/jobdetails.asp?id=1358596&fcatId=5&ln=1,Incepta Solutions,Dhaka,N/A,5 to 8 year(s),15-May-25,"Integration Architecture
Enterprise Architecture
API Management
ESB Technologies
Messaging Systems
ETL Processes
Data Modeling
Database Systems
Cloud Computing
MuleSoft (Nice to have)
Salesforce (Nice to have)
Security Principles
Communication (Written & Verbal)
Problem-SolvingStakeholder Management"
Assistant Project Engineer (Civil),https://jobs.bdjobs.com/jobdetails.asp?id=1358128&fcatId=5&ln=1,CITIZEN GROUP,Dhaka,Candidate should be Minimum Diploma in Civil Engineering from any reputed Institute (Public),At least 5 year(s),25-Apr-25,"Candidate should be practical experienced in Building Construction Works.

Candidate should be experienced and strong knowledge in Civil Engineering Specially in Supervision of building finishing works.

Report work progress to reporting Engineer.

Collaborate with architects, engineers and contractors.

Respond to work delays, emergencies and other construction problems.

Comply with legal requirements, building and safety codes, and other regulations.

Ensuring construction installation matches drawings and specifications.

Monitoring contractor productivity and efficiency to ensure work completed within established schedules.

Accepting material deliveries and tracking material delivery status.

Maintaining records of past and present projects to facilitate lessons learned.

Working with management to maintain contractor relationships for future projects.

Prepare Site Materials Estimation, Contractor Bill Checking & Requisition.

Attending and/or leading project meetings."
Intern (BSc. in CS Background),https://jobs.bdjobs.com/jobdetails.asp?id=1358200&fcatId=5&ln=1,Ejogajog Limited,Dhaka,Bachelor of Science (BSc) in Computer Science & Engineering,Na,30-Apr-25,"API Development
Java"
Design Assistant - Planning & Coordination,https://jobs.bdjobs.com/jobdetails.asp?id=1357935&fcatId=5&ln=1,Shanta Holdings Ltd.,Dhaka,Diploma in Architecture/ B.Arch from a reputed public/private university.,5 to 8 year(s),15-May-25,"Autocad, Illustrator, MS Project, Design study, Detail orientation, Pattern understanding, Coordination Interior Detail drawing and Landscape drawing preparation both for common area and Individual Apartment (if required) using Revit, Sketchup & other 3D architectural tool.

Support Project Architect and produce detail drawing for all residential and commercial projects using Revit, CAD, Sketchup or other architectural tools.

Prepare & Check All Authority approval drawings such as RAJUK, SPP, FFT, DMP, DTCA etc.

Prepare Area calculation.

Prepare presentation drawings & Finishing material drawings, As-built drawings, Occupancy certificate drawing etc.

Perform any other tasks assigned by Management."
Managing Director,https://jobs.bdjobs.com/jobdetails.asp?id=1358421&fcatId=5&ln=1,"CNTIC Energy Grid Solution (Bangladesh) Co., Ltd.",Dhaka,Diploma in Engineering in Electrical & Electronic Engineering,10 to 13 year(s),17-May-25,"Installation/ Erection
MNC
Project Management"
Assistant Executive (Spare Parts)-Swaraj Tractor Division,https://jobs.bdjobs.com/jobdetails.asp?id=1358480&fcatId=5&ln=1,Karnaphuli Group,Anywhere in Bangladesh,Diploma in MechanicalDiploma in PowerDiploma in Automobile,2 to 5 year(s),30-Apr-25,"Age 20 to 30 years
Sound knowledge of winsoft software operation.                     

Computer operation skills (MS, XL, and power points)

E-mail correspondence with CWH and HO. Achieve yearly sales target for spare parts and lube oil as per the budget.

Ensure when to order & what quantity to be ordered depending on buffer stock,,dealers and customer demand.

Submit monthly spare parts report and presentation.

Ensure availability of spare parts region-wise by appointing spare parts dealers in target locations region-wise.

Ensure winsoft software operation like requisition (regional), supply, stock report (whole), and update/upgrade the whole software if required.

Spare parts order forecast for each consignment import.

Ensure physically audit of regional stocks of spares & oil.

Regularly dealer monitoring and maintain dealer stock properly for fulfil new requirements.

Performs other related duties as assigned."
Senior Manager (Merchandising and Planning),https://jobs.bdjobs.com/jobdetails.asp?id=1357574&fcatId=5&ln=1,B.A.G,Dhaka,Bachelor of Science (BSc)Post Graduate / Graduate in Footwear Engineering or relevant Degree from a...,5 to 8 year(s),10-May-25,"Age 30 to 45 years
Excellent leadership qualities, proven ability to motivate and bring out the best in people.
Should be well-groomed, smart and energetic·       
Strong presentation and delivery skills
Strong attention to detail and accuracy, aiming for perfection
Excellent written and verbal communication both in Bangla and English
IT proficiency - advance level skill is a MUST in MS Office package (Especially PowerPoint, Excel, Word, and Outlook)
Should be proactive and dynamic, ability to work hard efficient·08-10 years' merchandising experience preferably in a reputed manufacturing company or buying office in every shoe category.
Must have extensive experience of sourcing, costing, as well as advanced technical knowledge on footwear and production processes. New buyer development first prior work.

Supervise, coordinate and lead a merchandising team independently and should have vast knowledge on Shoes.

Oversee and do costing and pricing of the Shoes and negotiations with the buyers to reach the final acceptable prices.

Overseeing the update on production status, sampling & required information being provided by the merchandisers to the buyers.

Have to manage client account from order inquiry to shipment, Inventory and Supply chain planning.

Responsible for proper follow up and committed with the time line given by Buyers and obviously meet the time line.

Co-ordinates with production team in order to deliver on time shipment and ensure merchandisers are updating order status to buyer.

Have to take care of all aspects of quality from initial to final stage of the production.

Candidate must keep close liaison with buyers & Suppliers for any update of the production.

Must have sound knowledge about product procedure.

To ensure the duties and responsibilities of subordinates as vested on them according to the organizational policy.

To ensure proper planning to assure smooth operation within the team.

Arrangement of briefing, training, coordinating, controlling and taking the timely decision.

To take an active role while formulating the policy of the factory.

Develop production plans to meet order deadlines.

Coordinate with procurement for material availability.

Track production progress and adjust plans as needed.

Analyze data to improve planning accuracy.

Any other responsibilities assigned by the management"
Assistant Engineer(Swaraj Tractor Division),https://jobs.bdjobs.com/jobdetails.asp?id=1358463&fcatId=5&ln=1,Karnaphuli Group,Anywhere in Bangladesh,Diploma in MechanicalDiploma in AutomobileDiploma in Power,2 to 5 year(s),30-Apr-25,"Ensure after-sales service all of SWARAJ customer ends.

To ensure all the showroom tractors working condition.

Service income, spare parts & lube oil sales as per target wise.

Monitoring all service activities as per the service policy.

Submit monthly all service report.Performs other related duties as assigned.   

Service team monitoring. Age 20 to 30 years
Sound knowledge in Automobile (Diesel Engine) & Basic computer skill."
Commercial Engineer (Landscaping),https://jobs.bdjobs.com/jobdetails.asp?id=1358408&fcatId=5&ln=1,SIMEX Bangladesh,"Barishal, Dhaka",Bachelor of Architecture (B.Arch)Bachelor in Engineering (BEngg) in Civil Engineering,At least 2 year(s),28-Apr-25,"2D Animation
Auto CAD 2D 3D
AutoCAD
Microsoft Office Suite
SketchUp"
